loc,n_records,mean,median,std,min,max,range,cv,n_outliers,outlier_rate,n_zeros,zero_rate
454,912,42.56644440789473,26.08335,29.89163936984987,4.6494,143.622,138.9726,0.7022348186616667,33,3.618421052631579,0,0.0
458,969,1.3085006191950466,0.9729,1.1168062923385838,0.0,8.8389,8.8389,0.8535007748224163,34,3.508771929824561,8,0.8255933952528379
1679,2145,0.15582293706293704,0.108,0.2691528395555394,0.0,5.3469,5.3469,1.727299232248641,66,3.076923076923077,351,16.363636363636363
2036,717,0.03393389121338912,0.0243,0.06531439785880706,0.0,0.8793,0.8793,1.9247541476480097,22,3.0683403068340307,29,4.044630404463041
870,1130,0.2626446902654867,0.2394,0.17528107285825179,0.0,1.0935,1.0935,0.6673695656328481,34,3.0088495575221237,18,1.592920353982301
1263,467,0.17585653104925053,0.0918,0.22883719378829556,0.0,1.7748,1.7748,1.3012720791370962,14,2.9978586723768736,74,15.845824411134904
1683,1172,0.1431122866894198,0.0009,0.23581699276359333,0.0,3.5541,3.5541,1.6477760101434193,33,2.8156996587030716,559,47.696245733788395
1259,586,0.22874744027303753,0.0,0.5671614303444475,0.0,4.329,4.329,2.4794219759026475,16,2.7303754266211606,366,62.45733788395904
1257,600,1.4310915,1.1223,0.7227202823975062,0.0,10.2564,10.2564,0.5050133289153812,16,2.666666666666667,4,0.6666666666666667
235,996,2.7857692771084337,1.6703999999999999,3.058490008307114,0.0,16.065,16.065,1.0978978171091607,25,2.5100401606425704,27,2.710843373493976
1682,1501,0.023505529646902067,0.0126,0.10277361984512022,0.0,2.295,2.295,4.372316701175264,37,2.465023317788141,484,32.24516988674217
1674,806,0.22091650124069478,0.20835,0.251881815110324,0.0,3.2643,3.2643,1.1401675008237235,18,2.2332506203473943,22,2.729528535980149
703,642,0.9776985981308411,0.7272000000000001,0.9790632306884061,0.0,7.5123,7.5123,1.0013957599613765,14,2.1806853582554515,5,0.778816199376947
453,380,11.06109,11.45745,3.2465188208197215,0.0,17.6994,17.6994,0.2935080377087359,8,2.1052631578947367,6,1.5789473684210527
1264,722,0.264590027700831,0.2268,0.17015702403047106,0.0,1.4139,1.4139,0.6430968903441278,15,2.0775623268698062,5,0.6925207756232686
1685,726,0.440051652892562,0.30555,0.5618902872822165,0.0,6.12,6.12,1.2768734842575429,15,2.066115702479339,167,23.002754820936637
705,291,7.9773185567010305,8.3727,2.2391501949283272,0.0,15.8346,15.8346,0.2806895799651147,6,2.0618556701030926,3,1.0309278350515463
2338,1964,1.7411233197556006,1.00935,1.824703027693142,0.0,14.3163,14.3163,1.0480033246291098,40,2.0366598778004072,4,0.20366598778004072
457,448,8.491777232142857,8.6157,2.594726199677443,0.0,20.7027,20.7027,0.30555749741714283,9,2.0089285714285716,4,0.8928571428571428
599,580,0.5866184482758621,0.5422499999999999,0.34246873944957174,0.0,5.1084,5.1084,0.5838015160554976,11,1.896551724137931,7,1.206896551724138
1684,1501,0.06438147901399069,0.0504,0.09749442467859923,0.0,2.6271,2.6271,1.5143240908990734,28,1.8654230512991337,146,9.726848767488342
641,165,8.680767272727273,9.2709,1.8704817958367146,0.018,11.124,11.106,0.21547424750267005,3,1.8181818181818181,0,0.0
598,411,0.3324262773722628,0.2763,0.3283294127230076,0.0,4.401,4.401,0.9876758700255593,7,1.70316301703163,2,0.48661800486618007
592,551,1.974974047186933,1.4103,1.623154798991416,0.0,20.9349,20.9349,0.8218613309391922,9,1.6333938294010888,2,0.3629764065335753
1681,757,0.06278718626155878,0.0558,0.09778555257942187,0.0,1.4769,1.4769,1.5574125614112875,11,1.453104359313078,237,31.307793923381773
