time,loc,image_id,sat_id,area_km2,area_km2_outlier_iqr,area_km2_outlier_zscore,area_km2_outlier_mad,area_km2_zscore,area_km2_mad_score
2017-02-01 18:28:00.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20170201T182800_20170201T182825_015094_018AC9_011C,S1_GRD,10.3821,1,1,1,3.627579396195456,7.267551912568313
2015-09-15 06:41:48.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20150915T064148_20150915T064213_007722_00ABA0_CE7E,S1_GRD,9.1663,1,1,1,3.7144793126248388,7.4253401639344325
2020-09-13 18:28:22.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20200913T182822_20200913T182847_034344_03FE37_BA31,S1_GRD,8.6831,1,1,1,3.749016275627535,7.488050546448094
2020-11-17 06:41:35.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20201117T064135_20201117T064200_024301_02E347_A392,S1_GRD,8.4747,1,1,1,3.7639117704325056,7.515096994535527
2018-03-10 18:27:13.000000,2453,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20180310T182713_20180310T182738_009973_012137_5B68,S1_GRD,5.096,1,1,1,4.005406052090636,7.9535894808743235
2020-12-18 18:28:22.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20201218T182822_20201218T182847_035744_042ECD_7870,S1_GRD,5.0108,1,1,1,4.0114957649379654,7.964646857923504
2017-12-10 18:28:03.000000,2453,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20171210T182803_20171210T182828_019644_021604_0827,S1_GRD,4.2964,1,1,1,4.062557864211819,8.05736270491804
2017-11-17 18:17:30.000000,445,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20171117T181730_20171117T181755_008325_00EBBA_C037,S1_GRD,3.0263,1,1,1,6.087266688086187,7.586824035608304
2022-10-21 18:26:55.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20221021T182655_20221021T182720_045544_0571DA_F6E0,S1_GRD,0.1738,1,0,1,2.5383977445244668,3.8316403560830845
2021-03-31 18:18:39.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20210331T181839_20210331T181904_037246_04631E_EEE8,S1_GRD,0.1706,1,0,1,2.5480742129501825,3.8444498516320453
2021-09-03 18:18:47.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20210903T181847_20210903T181912_039521_04ABA0_D0D2,S1_GRD,0.1675,1,0,1,2.557448291737595,3.856859050445102
2022-11-15 06:27:36.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20221115T062736_20221115T062801_045901_057DEE_45F4,S1_GRD,0.1638,1,0,1,2.5686367083548287,3.871670029673589
2021-09-21 18:17:55.000000,445,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20210921T181755_20210921T181820_028800_036FEB_33CB,S1_GRD,0.1629,1,0,1,2.571358215099561,3.8752727002967333
2022-11-27 06:27:36.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20221127T062736_20221127T062801_046076_0583D5_BD90,S1_GRD,0.1622,1,0,1,2.573474942567686,3.8780747774480693
2021-12-02 18:17:54.000000,445,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20211202T181754_20211202T181819_029850_03903A_0808,S1_GRD,0.1521,1,0,1,2.6040162960363515,3.9185047477744783
2023-09-23 06:27:42.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20230923T062742_20230923T062807_050451_061351_0619,S1_GRD,0.1507,1,0,1,2.608249750972602,3.9241089020771494
2021-09-21 06:27:30.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20210921T062730_20210921T062755_039776_04B450_B393,S1_GRD,0.1432,1,0,1,2.6309289738453736,3.9541311572700275
2021-09-15 06:27:00.000000,445,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20210915T062700_20210915T062725_028705_036CF0_6631,S1_GRD,0.1245,1,0,1,2.6874758362081494,4.02898664688427
2023-09-17 18:18:59.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20230917T181859_20230917T181924_050371_06109A_F342,S1_GRD,0.1234,1,0,1,2.6908021222294893,4.033389910979227
2017-03-16 18:18:13.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20170316T181813_20170316T181838_015721_019E00_5421,S1_GRD,0.118,1,0,1,2.707131162697885,4.055005934718098
2021-12-08 18:18:47.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20211208T181847_20211208T181912_040921_04DC07_89FA,S1_GRD,0.1157,1,0,1,2.7140861243788676,4.064212759643914
2021-09-15 18:18:48.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20210915T181848_20210915T181913_039696_04B199_E71E,S1_GRD,0.1153,1,0,1,2.7152956829320822,4.065813946587535
2021-11-20 18:17:55.000000,445,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20211120T181755_20211120T181820_029675_038AB3_D364,S1_GRD,0.1003,1,0,1,2.7606541286776247,4.125858456973291
2021-11-25 18:26:01.000000,445,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20211125T182601_20211125T182626_029748_038CFB_E1A5,S1_GRD,0.0942,1,0,1,2.779099896614145,4.150276557863499
2021-11-01 18:26:01.000000,445,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20211101T182601_20211101T182626_029398_03822D_28E3,S1_GRD,0.0904,1,0,1,2.790590702869683,4.16548783382789
2020-11-12 18:26:43.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20201112T182643_20201112T182708_035219_041CBB_585B,S1_GRD,0.0703,1,0,1,2.8513710201687097,4.245947477744805
2021-11-02 06:27:00.000000,445,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20211102T062700_20211102T062725_029405_03825F_99CA,S1_GRD,0.0689,1,0,1,2.8556044751049603,4.251551632047476
2017-05-21 06:26:52.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20170521T062652_20170521T062717_016676_01BAE9_3B6C,S1_GRD,0.0661,1,0,1,2.8640713849774615,4.262759940652816
2022-10-22 06:27:37.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20221022T062737_20221022T062802_045551_057217_9FB5,S1_GRD,0.0561,1,0,1,2.894310348807823,4.302789614243321
2021-12-08 06:26:59.000000,445,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20211208T062659_20211208T062724_029930_0392AD_9520,S1_GRD,0.0525,1,0,1,2.9051963757867534,4.317200296735903
2021-11-26 06:27:00.000000,445,COPERNICUS-S1_GRD-S1B_IW_GRDH_1SDV_20211126T062700_20211126T062725_029755_038D24_6BA2,S1_GRD,0.0455,1,0,1,2.9263636504680064,4.345221068249256
2021-11-26 18:18:47.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20211126T181847_20211126T181912_040746_04D5ED_9D17,S1_GRD,0.0307,1,0,1,2.9711173169369416,4.4044649851632025
2022-11-09 18:18:54.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20221109T181854_20221109T181919_045821_057B46_DA30,S1_GRD,0.0278,1,0,1,2.979886616447746,4.416073590504449
2021-11-02 18:18:48.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20211102T181848_20211102T181913_040396_04C9CF_F2EC,S1_GRD,0.0238,1,0,1,2.991982201979891,4.43208545994065
2022-11-21 18:18:54.000000,445,COPERNICUS-S1_GRD-S1A_IW_GRDH_1SDV_20221121T181854_20221121T181919_045996_058128_2F72,S1_GRD,0.0209,1,1,1,3.000751501490696,4.443694065281897
